Date,Municipality,Confirmed
5/11/2020,Magnolia Borough,1
5/11/2020,Pennsauken Township,8
5/11/2020,Pine Hill Borough,1
5/11/2020,Runnemede Borough,1
5/11/2020,Somerdale Borough,1
5/11/2020,Voorhees Township,6
5/11/2020,Waterford Township,3
5/11/2020,Winslow Township,6
5/11/2020,Woodlynne Borough,2
5/12/2020,Berlin Township,1
5/12/2020,Camden City,3
5/12/2020,Cherry Hill Township,6
5/12/2020,Gloucester City,1
5/12/2020,Gloucester Township,4
5/12/2020,Pine Hill Borough,1
5/12/2020,Voorhees Township,6
5/13/2020,Audubon Borough,6
5/13/2020,Audubon Park Borough,1
5/13/2020,Barrington Borough,4
5/13/2020,Bellmawr Borough,19
5/13/2020,Berlin Borough,9
5/13/2020,Berlin Township,4
5/13/2020,Brooklawn Borough,2
5/13/2020,Camden City,319
5/13/2020,Cherry Hill Township,121
5/13/2020,Chesilhurst Borough,8
5/13/2020,Clementon Borough,5
5/13/2020,Collingswood Borough,4
5/13/2020,Gibbsboro Borough,2
5/13/2020,Gloucester City,16
5/13/2020,Gloucester Township,65
5/13/2020,Haddon Heights Borough,6
5/13/2020,Haddon Township,18
5/13/2020,Haddonfield Borough,11
5/13/2020,Laurel Springs Borough,1
5/13/2020,Lawnside Borough,5
5/13/2020,Lindenwold Borough,59
5/13/2020,Magnolia Borough,1
5/13/2020,Merchantville Borough,2
5/13/2020,Oaklyn Borough,2
5/13/2020,Pennsauken Township,85
5/13/2020,Pine Hill Borough,17
5/13/2020,Runnemede Borough,11
5/13/2020,Somerdale Borough,9
5/13/2020,Stratford Borough,7
5/13/2020,Voorhees Township,70
5/13/2020,Waterford Township,10
5/13/2020,Winslow Township,62
5/13/2020,Woodlynne Borough,9
5/14/2020,Audubon Borough,1
5/14/2020,Bellmawr Borough,1
5/14/2020,Brooklawn Borough,1
5/14/2020,Camden City,33
5/14/2020,Cherry Hill Township,19
5/14/2020,Clementon Borough,1
5/14/2020,Collingswood Borough,1
5/14/2020,Gloucester City,1
5/14/2020,Gloucester Township,4
5/14/2020,Haddon Heights Borough,1
5/14/2020,Haddon Township,1
5/14/2020,Laurel Springs Borough,1
5/14/2020,Lawnside Borough,1
5/14/2020,Lindenwold Borough,4
5/14/2020,Merchantville Borough,2
5/14/2020,Mount Ephraim Borough,1
5/14/2020,Pennsauken Township,16
5/14/2020,Pine Hill Borough,1
5/14/2020,Voorhees Township,7
5/14/2020,Waterford Township,3
5/14/2020,Winslow Township,13
5/15/2020,Berlin Township,1
5/15/2020,Camden City,18
5/15/2020,Cherry Hill Township,11
5/15/2020,Collingswood Borough,1
5/15/2020,Gloucester Township,9
5/15/2020,Haddon Township,2
5/15/2020,Haddonfield Borough,2
5/15/2020,Lindenwold Borough,7
5/15/2020,Mount Ephraim Borough,1
5/15/2020,Pennsauken Township,5
5/15/2020,Pine Hill Borough,1
5/15/2020,Somerdale Borough,1
5/15/2020,Voorhees Township,10
5/15/2020,Winslow Township,9
5/16/2020,Bellmawr Borough,1
5/16/2020,Berlin Township,2
5/16/2020,Camden City,29
5/16/2020,Cherry Hill Township,11
5/16/2020,Chesilhurst Borough,1
5/16/2020,Clementon Borough,1
5/16/2020,Gloucester City,1
5/16/2020,Gloucester Township,8
5/16/2020,Haddonfield Borough,2
5/16/2020,Lindenwold Borough,13
5/16/2020,Oaklyn Borough,1
5/16/2020,Pennsauken Township,8
5/16/2020,Runnemede Borough,2
5/16/2020,Somerdale Borough,2
5/16/2020,Stratford Borough,2
5/16/2020,Voorhees Township,7
5/16/2020,Winslow Township,8
5/17/2020,Audubon Park Borough,1
5/17/2020,Barrington Borough,1
5/17/2020,Bellmawr Borough,2
5/17/2020,Berlin Borough,1
5/17/2020,Berlin Township,1
5/17/2020,Camden City,29
5/17/2020,Cherry Hill Township,6
5/17/2020,Chesilhurst Borough,1
5/17/2020,Clementon Borough,1
5/17/2020,Collingswood Borough,1
5/17/2020,Gloucester City,1
5/17/2020,Gloucester Township,7
5/17/2020,Haddon Heights Borough,1
5/17/2020,Haddon Township,1
5/17/2020,Laurel Springs Borough,1
5/17/2020,Lindenwold Borough,10
5/17/2020,Merchantville Borough,1
5/17/2020,Mount Ephraim Borough,1
5/17/2020,Pennsauken Township,7
5/17/2020,Pine Hill Borough,1
5/17/2020,Somerdale Borough,1
5/17/2020,Stratford Borough,1
5/17/2020,Voorhees Township,24
5/17/2020,Winslow Township,2
5/18/2020,Bellmawr Borough,4
5/18/2020,Berlin Township,2
5/18/2020,Camden City,13
5/18/2020,Cherry Hill Township,5
5/18/2020,Gloucester Township,13
5/18/2020,Lawnside Borough,1
5/18/2020,Lindenwold Borough,5
5/18/2020,Pennsauken Township,7
5/18/2020,Pine Hill Borough,1
5/18/2020,Runnemede Borough,1
5/18/2020,Voorhees Township,17
5/18/2020,Waterford Township,2
5/18/2020,Winslow Township,4
5/19/2020,Audubon Park Borough,1
5/19/2020,Berlin Borough,1
5/19/2020,Camden City,42
5/19/2020,Cherry Hill Township,3
5/19/2020,Chesilhurst Borough,1
5/19/2020,Clementon Borough,1
5/19/2020,Collingswood Borough,1
5/19/2020,Gloucester Township,16
5/19/2020,Haddonfield Borough,3
5/19/2020,Laurel Springs Borough,1
5/19/2020,Lindenwold Borough,14
5/19/2020,Merchantville Borough,1
5/19/2020,Oaklyn Borough,1
5/19/2020,Pennsauken Township,5
5/19/2020,Stratford Borough,1
5/19/2020,Voorhees Township,1
5/19/2020,Waterford Township,2
5/19/2020,Winslow Township,4
5/19/2020,Woodlynne Borough,1
5/20/2020,Bellmawr Borough,2
5/20/2020,Camden City,24
5/20/2020,Cherry Hill Township,7
5/20/2020,Clementon Borough,1
5/20/2020,Collingswood Borough,1
5/20/2020,Gloucester Township,15
5/20/2020,Lawnside Borough,2
5/20/2020,Lindenwold Borough,9
5/20/2020,Merchantville Borough,2
5/20/2020,Pennsauken Township,7
5/20/2020,Pine Hill Borough,1
5/20/2020,Somerdale Borough,1
5/20/2020,Stratford Borough,1
5/20/2020,Voorhees Township,5
5/20/2020,Waterford Township,2
5/20/2020,Winslow Township,4
5/21/2020,Audubon Borough,1
5/21/2020,Berlin Township,1
5/21/2020,Brooklawn Borough,1
5/21/2020,Camden City,50
5/21/2020,Cherry Hill Township,5
5/21/2020,Clementon Borough,4
5/21/2020,Gloucester City,2
5/21/2020,Gloucester Township,3
5/21/2020,Haddon Heights Borough,1
5/21/2020,Haddon Township,1
5/21/2020,Haddonfield Borough,1
5/21/2020,Laurel Springs Borough,1
5/21/2020,Lindenwold Borough,4
5/21/2020,Merchantville Borough,3
5/21/2020,Mount Ephraim Borough,1
5/21/2020,Pennsauken Township,7
5/21/2020,Pine Hill Borough,3
5/21/2020,Runnemede Borough,2
5/21/2020,Stratford Borough,2
5/21/2020,Voorhees Township,7
5/21/2020,Waterford Township,3
5/21/2020,Winslow Township,4
5/22/2020,Audubon Borough,1
5/22/2020,Camden City,9
5/22/2020,Cherry Hill Township,11
5/22/2020,Gloucester City,2
5/22/2020,Gloucester Township,6
5/22/2020,Lawnside Borough,1
5/22/2020,Lindenwold Borough,5
5/22/2020,Pennsauken Township,2
5/22/2020,Pine Hill Borough,2
5/22/2020,Voorhees Township,4
5/22/2020,Waterford Township,1
5/22/2020,Winslow Township,2
5/23/2020,Audubon Borough,1
5/23/2020,Barrington Borough,1
5/23/2020,Bellmawr Borough,2
5/23/2020,Berlin Township,3
5/23/2020,Brooklawn Borough,1
5/23/2020,Camden City,50
5/23/2020,Cherry Hill Township,8
5/23/2020,Gloucester Township,18
5/23/2020,Haddon Heights Borough,1
5/23/2020,Haddon Township,1
5/23/2020,Lawnside Borough,2
5/23/2020,Lindenwold Borough,4
5/23/2020,Magnolia Borough,1
5/23/2020,Pennsauken Township,11
5/23/2020,Pine Hill Borough,2
5/23/2020,Runnemede Borough,1
5/23/2020,Somerdale Borough,2
5/23/2020,Stratford Borough,1
5/23/2020,Voorhees Township,5
5/23/2020,Waterford Township,1
5/23/2020,Winslow Township,5
5/23/2020,Woodlynne Borough,1
5/24/2020,Barrington Borough,1
5/24/2020,Berlin Township,1
5/24/2020,Camden City,7
5/24/2020,Cherry Hill Township,1
5/24/2020,Clementon Borough,1
5/24/2020,Collingswood Borough,1
5/24/2020,Gloucester City,1
5/24/2020,Gloucester Township,1
5/24/2020,Lawnside Borough,1
5/24/2020,Lindenwold Borough,3
5/24/2020,Merchantville Borough,2
5/24/2020,Runnemede Borough,2
5/24/2020,Voorhees Township,3
5/25/2020,Bellmawr Borough,1
5/25/2020,Berlin Township,1
5/25/2020,Camden City,16
5/25/2020,Cherry Hill Township,7
5/25/2020,Collingswood Borough,1
5/25/2020,Gloucester Township,11
5/25/2020,Lawnside Borough,1
5/25/2020,Lindenwold Borough,13
5/25/2020,Magnolia Borough,1
5/25/2020,Mount Ephraim Borough,2
5/25/2020,Pennsauken Township,8
5/25/2020,Pine Hill Borough,2
5/25/2020,Somerdale Borough,1
5/25/2020,Stratford Borough,1
5/25/2020,Waterford Township,4
5/25/2020,Winslow Township,5
5/25/2020,Woodlynne Borough,2
5/26/2020,Barrington Borough,1
5/26/2020,Berlin Township,2
5/26/2020,Brooklawn Borough,1
5/26/2020,Camden City,21
5/26/2020,Cherry Hill Township,25
5/26/2020,Collingswood Borough,2
5/26/2020,Gloucester City,1
5/26/2020,Gloucester Township,9
5/26/2020,Lindenwold Borough,3
5/26/2020,Pennsauken Township,6
5/26/2020,Stratford Borough,1
5/26/2020,Voorhees Township,23
5/26/2020,Waterford Township,2
5/27/2020,Camden City,30
5/27/2020,Cherry Hill Township,3
5/27/2020,Collingswood Borough,3
5/27/2020,Gloucester City,1
5/27/2020,Gloucester Township,3
5/27/2020,Lindenwold Borough,1
5/27/2020,Merchantville Borough,2
5/27/2020,Pennsauken Township,7
5/27/2020,Winslow Township,4
5/28/2020,Audubon Borough,2
5/28/2020,Barrington Borough,2
5/28/2020,Bellmawr Borough,2
5/28/2020,Berlin Township,1
5/28/2020,Brooklawn Borough,1
5/28/2020,Camden City,23
5/28/2020,Cherry Hill Township,8
5/28/2020,Clementon Borough,2
5/28/2020,Collingswood Borough,2
5/28/2020,Gloucester City,1
5/28/2020,Gloucester Township,17
5/28/2020,Haddon Heights Borough,1
5/28/2020,Haddonfield Borough,3
5/28/2020,Lindenwold Borough,4
5/28/2020,Magnolia Borough,1
5/28/2020,Pennsauken Township,5
5/28/2020,Pine Hill Borough,3
5/28/2020,Runnemede Borough,1
5/28/2020,Somerdale Borough,2
5/28/2020,Stratford Borough,2
5/28/2020,Voorhees Township,10
5/28/2020,Winslow Township,6
5/28/2020,Woodlynne Borough,1
5/29/2020,Barrington Borough,1
5/29/2020,Bellmawr Borough,1
5/29/2020,Berlin Township,2
5/29/2020,Camden City,12
5/29/2020,Cherry Hill Township,8
5/29/2020,Clementon Borough,2
5/29/2020,Gloucester Township,11
5/29/2020,Haddon Township,3
5/29/2020,Hi-Nella Borough,1
5/29/2020,Lawnside Borough,1
5/29/2020,Lindenwold Borough,2
5/29/2020,Mount Ephraim Borough,1
5/29/2020,Pennsauken Township,1
5/29/2020,Pine Hill Borough,2
5/29/2020,Voorhees Township,4
5/29/2020,Waterford Township,1
5/29/2020,Winslow Township,6
5/30/2020,Bellmawr Borough,2
5/30/2020,Berlin Township,2
5/30/2020,Camden City,23
5/30/2020,Cherry Hill Township,9
5/30/2020,Collingswood Borough,1
5/30/2020,Gloucester City,1
5/30/2020,Gloucester Township,6
5/30/2020,Haddon Township,1
5/30/2020,Haddonfield Borough,2
5/30/2020,Lindenwold Borough,4
5/30/2020,Merchantville Borough,1
5/30/2020,Mount Ephraim Borough,1
5/30/2020,Pennsauken Township,8
5/30/2020,Runnemede Borough,1
5/30/2020,Stratford Borough,1
5/30/2020,Voorhees Township,5
5/30/2020,Winslow Township,3
5/30/2020,Woodlynne Borough,2
5/31/2020,Audubon Borough,1
5/31/2020,Bellmawr Borough,3
5/31/2020,Berlin Borough,1
5/31/2020,Camden City,31
5/31/2020,Cherry Hill Township,9
5/31/2020,Collingswood Borough,1
5/31/2020,Gloucester Township,16
5/31/2020,Lawnside Borough,1
5/31/2020,Lindenwold Borough,7
5/31/2020,Magnolia Borough,1
5/31/2020,Mount Ephraim Borough,1
5/31/2020,Pennsauken Township,4
5/31/2020,Runnemede Borough,1
5/31/2020,Stratford Borough,1
5/31/2020,Voorhees Township,4
5/31/2020,Waterford Township,1
5/31/2020,Winslow Township,2
6/1/2020,Bellmawr Borough,1
6/1/2020,Berlin Borough,1
6/1/2020,Camden City,18
6/1/2020,Cherry Hill Township,6
6/1/2020,Collingswood Borough,1
6/1/2020,Gloucester City,1
6/1/2020,Gloucester Township,12
6/1/2020,Lawnside Borough,1
6/1/2020,Lindenwold Borough,4
6/1/2020,Pennsauken Township,4
6/1/2020,Pine Hill Borough,1
6/1/2020,Runnemede Borough,1
6/1/2020,Voorhees Township,2
6/1/2020,Winslow Township,1
6/1/2020,Woodlynne Borough,1
6/2/2020,Audubon Borough,1
6/2/2020,Audubon Park Borough,1
6/2/2020,Barrington Borough,1
6/2/2020,Bellmawr Borough,2
6/2/2020,Berlin Borough,2
6/2/2020,Camden City,11
6/2/2020,Cherry Hill Township,8
6/2/2020,Chesilhurst Borough,1
6/2/2020,Clementon Borough,1
6/2/2020,Collingswood Borough,2
6/2/2020,Gloucester City,1
6/2/2020,Gloucester Township,7
6/2/2020,Haddon Township,1
6/2/2020,Lindenwold Borough,1
6/2/2020,Pennsauken Township,2
6/2/2020,Pine Hill Borough,1
6/2/2020,Runnemede Borough,1
6/2/2020,Voorhees Township,3
6/2/2020,Winslow Township,5
6/3/2020,Bellmawr Borough,2
6/3/2020,Camden City,20
6/3/2020,Cherry Hill Township,14
6/3/2020,Chesilhurst Borough,1
6/3/2020,Collingswood Borough,1
6/3/2020,Gloucester Township,5
6/3/2020,Lindenwold Borough,1
6/3/2020,Pennsauken Township,3
6/3/2020,Pine Hill Borough,1
6/3/2020,Stratford Borough,1
6/3/2020,Voorhees Township,5
6/3/2020,Winslow Township,4
6/3/2020,Woodlynne Borough,1
6/4/2020,Audubon Borough,1
6/4/2020,Camden City,11
6/4/2020,Cherry Hill Township,4
6/4/2020,Gloucester Township,4
6/4/2020,Lawnside Borough,1
6/4/2020,Lindenwold Borough,2
6/4/2020,Oaklyn Borough,1
6/4/2020,Pennsauken Township,2
6/4/2020,Voorhees Township,4
6/4/2020,Waterford Township,1
6/4/2020,Winslow Township,1
